Web site,Owner Name,Company name,Address,Locality,Postal code,Phone number,Region,Hours,Price range,Longitude,Latitude,Rating,More info,Established Year,Category,keyword,Review,LastReviewDate,OwnerNameLink,Yelp Id
,,Trophy Lounge,8801 Jewel Lake Rd,Anchorage,99502,(907) 334-9575,AK,,,-149.9502371,61.1402755,,,,Nightlife,Bars,,,,Oy34rfFc5rJuhC90sBcYgw
,,Spare Room,3717 Minnesota Dr,Anchorage,99503,(907) 562-2791,AK,,,-149.9122799,61.186264,,,,Nightlife,Bars,,,,hDjUiYKSFlbMnIDLZni7BQ
,Lard Belly E.,Rippie World,5121 Arctic Blvd||Ste C,Anchorage,99503,(907) 562-0111,AK,,,,,3,,,,Bars,1,11/15/2017,http://www.yelp.com/user_details?userid=2XcsiGtAWHKiJK6th9hHug,uzNM01Pm5LNaOPVZMFNbcA
,Ron W.,Anchor Bar & Grill,207 Breakwater Ave,Cordova,99574,(907) 424-3262,AK,,$$$ || $,-145.7653128,60.547581,3.5,Accepts Credit Cards --> Yes | Bike Parking --> Yes | Good for Groups --> Yes | Alcohol --> Full Bar | Outdoor Seating --> Yes | Has TV --> Yes ,,Dive Bars,Bars,3,9/14/2017,http://www.yelp.com/user_details?userid=K4HezPD2gq-0lZfyMo5rYA,AWq7ngSKvnzMstnq3_4BZA
,Alexis D.,Alaskan Hotel & Bar,600 1st St,Cordova,99574,(907) 424-3288,AK,,$$ || $$,-145.7586891,60.5446152,3.5,Accepts Credit Cards --> Yes | Good for Groups --> Yes | Noise Level --> Average | Alcohol --> Full Bar | Outdoor Seating --> No | Wi-Fi --> No | Has TV --> Yes ,,"Hotels , Bars",Bars,2,02-06-2016,http://www.yelp.com/user_details?userid=X5C6-DeljEKaxr5oCKnrSA,JMBCDSp9DjLN44FIuQZkkQ
,L B.,The Crab Shack,1401 4th Ave,Seward,99664,(907) 224-2722,AK, Mon 10:00 am - 10:00 pm ||Tue 10:00 am - 10:00 pm ||Wed 10:00 am - 10:00 pm ||Thu 10:00 am - 10:00 pm Open now ||Fri 10:00 am - 10:00 pm ||Sat 10:00 am - 10:00 pm ||Sun 10:00 am - 10:00 pm,,-149.4407608,60.1189103,1.5,Takes Reservations --> No | Take-out --> No | Accepts Credit Cards --> Yes ,,"Pizza , Seafood , Beer Bar",Bars,7,08-10-2017,http://www.yelp.com/user_details?userid=PWl27SdFiiI8s8z3xdmglw,KeP60elbHBA0TV06MIHjPA
http://www.amalgadistillery.com,Rich H.,Amalga Distillery,134 N Franklin St,Juneau,99801,(907) 209-2015,AK, Mon 4:00 pm - 7:30 pm ||Tue 4:00 pm - 7:30 pm ||Wed 4:00 pm - 7:30 pm ||Thu 4:00 pm - 7:30 pm Closed now ||Fri 4:00 pm - 7:30 pm ||Sat 2:00 pm - 7:30 pm ||Sun Closed,$$$ || $,-134.4069765,58.301272,5,Take-out --> No | Accepts Credit Cards --> Yes | Accepts Apple Pay --> Yes | Parking --> Street | Bike Parking --> Yes | Wheelchair Accessible --> Yes | Caters --> No | Gender Neutral Restrooms --> Yes , Established in 2017.,Distilleries,Bars,26,01-05-2018,http://www.yelp.com/user_details?userid=YwkyIOKgE_40J_qSPwC7Jg,TNtW6kyLSvrtZlPaYx81JQ
http://suite100.com,Mary C.,"Suite 100 Restaurant, Bar & Lounge",1000 E Dimond Blvd,Anchorage,99515,(907) 341-1000,AK, Mon 4:00 pm - 11:00 pm ||Tue 4:00 pm - 11:00 pm ||Wed 4:00 pm - 11:00 pm ||Thu 4:00 pm - 11:00 pm Closed now ||Fri 4:00 pm - 11:00 pm ||Sat 4:00 pm - 11:00 pm ||Sun 4:00 pm - 10:00 pm,$$ || $$,-149.862853,61.144049,3.5,Takes Reservations --> Yes | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Good For --> Dinner | Parking --> Private Lot | Bike Parking --> Yes | Good for Kids --> Yes | Good for Groups --> Yes | Attire --> Casual | Ambience --> Classy | Noise Level --> Average | Alcohol --> Full Bar | Outdoor Seating --> No | Wi-Fi --> No | Has TV --> No | Caters --> Yes ,,American (New),Bars,126,1/30/2018,http://www.yelp.com/user_details?userid=mMtbc6HKpoeu1YoKmErlQw,3wFwBtB6b7riyo3KfLQonA
http://www.southsidebistro.com,Carrie G.,Southside Bistro,1320 Huffman Park Dr||Ste 130,Anchorage,99515,(907) 348-0088,AK, Mon Closed ||Tue 11:30 am - 10:00 pm ||Wed 11:30 am - 10:00 pm ||Thu 11:30 am - 10:00 pm Closed now ||Fri 11:30 am - 10:00 pm ||Sat 11:30 am - 10:00 pm ||Sun Closed,$ || $$$,-149.8579544,61.1097387,4,Takes Reservations --> Yes | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Good For --> Dinner | Parking --> Private Lot | Bike Parking --> No | Good for Kids --> Yes | Good for Groups --> Yes | Attire --> Casual | Noise Level --> Average | Good For Dancing --> No | Alcohol --> Beer & Wine Only | Happy Hour --> No | Outdoor Seating --> No | Wi-Fi --> No | Has TV --> No | Waiter Service --> Yes | Caters --> No ,,"Bars , American (Traditional)",Bars,97,12-12-2017,http://www.yelp.com/user_details?userid=gHhhOZv4_XYreuNjVdR9GA,Ondo2pKoSR3wOQxaa-UNnA
https://www.olivegarden.com/locations/ak/anchorage/dimond-mall/4413%3Fcmpid%3Dbr%3Aog_ag%3Aie_ch%3Adry_ca%3AOGQ318LOCURL_dt%3A20180129_sn%3Ayelp_gt%3Aanchorage-ak-4413_pl%3Alocurl_rd%3A1770,B D.,Olive Garden Italian Restaurant,800 E Dimond Blvd||Ste 160,Anchorage,99515,(907) 349-1999,AK, Mon 11:00 am - 10:00 pm ||Tue 11:00 am - 10:00 pm ||Wed 11:00 am - 10:00 pm ||Thu 11:00 am - 10:00 pm Closed now ||Fri 11:00 am - 11:00 pm ||Sat 11:00 am - 11:00 pm ||Sun 11:00 am - 10:00 pm,$$ || $$,-149.8707562,61.14362378,2.5,Takes Reservations --> Yes | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Accepts Apple Pay --> Yes | Good For --> Dessert | Parking --> Private Lot | Bike Parking --> Yes | Good for Kids --> Yes | Good for Groups --> Yes | Attire --> Casual | Ambience --> Casual | Noise Level --> Average | Alcohol --> Full Bar | Happy Hour --> Yes | Coat Check --> No | Outdoor Seating --> No | Wi-Fi --> No | Has TV --> No | Waiter Service --> Yes | Caters --> No , Established in 1982.,"Italian , Salad , Wine Bars",Bars,53,11/26/2017,http://www.yelp.com/user_details?userid=DEJ9k6Z7Xb4hXTrJzmaATQ,C0G_Ii-k5qO9WCwerNapxA
,Lynda L.,Long Branch Saloon,1737 E Dimond Blvd,Anchorage,99507,(907) 349-4142,AK, Mon 11:00 am - 2:30 am ||Tue 11:00 am - 2:30 am ||Wed 11:00 am - 2:30 am ||Thu 11:00 am - 2:30 am Open now ||Fri 11:00 am - 3:00 am ||Sat 9:00 am - 3:00 am ||Sun 9:00 am - 2:30 am,$$ || $$,-149.84882,61.14454,4,"Takes Reservations --> No | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Accepts Apple Pay --> No | Good For --> Lunch, Dinner, Late Night | Parking --> Private Lot | Bike Parking --> Yes | Good for Kids --> No | Good for Groups --> Yes | Attire --> Casual | Ambience --> Divey | Noise Level --> Average | Music --> Juke Box | Alcohol --> Full Bar | Happy Hour --> Yes | Best Nights --> Mon, Fri, Sun | Outdoor Seating --> Yes | Wi-Fi --> No | Has TV --> Yes | Caters --> No | Has Pool Table --> Yes ",,"Dive Bars , Burgers , Breakfast & Brunch",Bars,69,1/29/2018,http://www.yelp.com/user_details?userid=3psjmg6U4ZsaRyOFuB8F9Q,Mr-ADVLeoFZUEy7RChuMmw
http://www.petroclub.net/,Katie G.,Petroleum Club of Anchorage,3301 C St||Ste 120,Anchorage,99503,(907) 563-5090,AK, Mon 11:00 am - 9:00 pm ||Tue 11:00 am - 9:00 pm ||Wed 11:00 am - 9:00 pm ||Thu 11:00 am - 9:00 pm Closed now ||Fri 11:00 am - 9:00 pm ||Sat Closed ||Sun Closed,,-149.8852383,61.1903622,3,, Established in 1958.,"Venues & Event Spaces , Social Clubs",Bars,3,7/15/2016,http://www.yelp.com/user_details?userid=nOgPEpFhZzYXBSl3PoaJ9Q,rP_BDOfkUmIk205Y7HjLtA
http://www.anchorinnwhittier.com,John C.,The Anchor Inn,100 Whittier St,Whittier,99693,(907) 472-2354,AK,,$$ || $$,-148.6860101,60.7746166,3,Takes Reservations --> No | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Bike Parking --> No | Good for Kids --> Yes | Good for Groups --> Yes | Attire --> Casual | Noise Level --> Average | Outdoor Seating --> No | Wi-Fi --> Free | Has TV --> Yes | Waiter Service --> Yes ,,"American (New) , Museums , Hotels",Bars,10,09-12-2017,http://www.yelp.com/user_details?userid=NmFFeFbMNLvgj8ijAoIsoA,qjRimqghww24VMS5N75Szw
